id;parent_id;product_number;active;stock;name;description;price_net;price_gross;purchase_prices_net;purchase_prices_gross;tax_id;tax_rate;tax_name;cover_media_id;cover_media_url;cover_media_title;cover_media_alt;manufacturer_id;manufacturer_name;categories;sales_channel;propertyIds;optionIds
0195a9f3caa870a882c6c26efbd39db4;;SW10001;1;100;"AOJ-20A | Infrarot-Ohr- und Stirnthermometer";"<p><b>Funktionen &amp; Anwendungen:</b></p>
<ul>
    <li><b>Präzise Temperaturmessung:</b> für Stirn und Ohr (32,0–42,9 °C) sowie Objekte (0–100 °C)</li>
    <li><b>Einfache Anwendung:</b> Ideal auch für schlafende Patienten</li>
    <li><b>Automatischer Moduswechsel:</b> zwischen Stirn- und Ohrmessung</li>
</ul>

<p><b>Ausstattung &amp; Features:</b></p>
<ul>
    <li><b>LCD-Display:</b> mit 4-Farben-LED-Hintergrundbeleuchtung für klare Ablesbarkeit</li>
    <li><b>App-Kompatibilität:</b> Verbindung mit der vihealth App zur Datenverwaltung</li>
    <li><b>Langlebig &amp; zuverlässig:</b> Über 3000 Messungen mit 2x AAA-Batterien</li>
</ul>";39.99;47.5881;27.19;32.3561;0195903a857073348ae7250001a512bd;19;"Standard rate";0195a9ec30cf7247aaea4fda744f3f1d;"https://dormed24.de/media/8f/89/cd/1742312584/_aoj-20a-360grad-ansicht (1).png?ts=1742312584";;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195aa2449227b21a586c05f1a2bd74e;;SW10002;1;98;"BP2 | Blutdruckmessgerät mit 1-Kanal-EKG";"<p><b>Funktion &amp; Anwendung:</b></p>
<ul>
    <li><b>Kompakt &amp; mobil:</b> Klein, handlich und leicht einsetzbar</li>
    <li><b>2-in-1 Funktion:</b> Blutdruckmessgerät mit zusätzlicher 1-Kanal-EKG-Funktion</li>
    <li><b>Präzise Messung:</b> Manschette für Armumfang 22–42 cm</li>
    <li><b>Speicherfunktion:</b> Bis zu 50 Blutdruck- &amp; 10 EKG-Messungen</li>
</ul>

<p><b>Ausstattung &amp; Features:</b></p>
<ul>
    <li><b>Wiederaufladbare Li-Ion Batterie:</b> Bis zu 500 Messungen pro Ladung</li>
    <li><b>Schnelle EKG-Messung:</b> Aufnahmezeit von nur 30 Sekunden</li>
    <li><b>Umfangreiches Zubehör:</b> Inkl. USB-Kabel, Batterien (AA), Transportbeutel &amp; Tragekordel</li>
    <li><b>App-Kompatibilität:</b> Datenübertragung &amp; Auswertung mit der vihealth App</li>
</ul>
";99;117.81;67.32;80.1108;0195903a857073348ae7250001a512bd;19;"Standard rate";0195aa2b154f7adea5d3afcd4987eb87;https://dormed24.de/media/49/17/8d/1742316706/bp2-angelegt.png?ts=1742316706;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195aa2c65cd77fbbeab6bae1af21f8c;;SW10003;1;100;"PC-80B | Notfall-EKG";"<p><b>Funktion &amp; Anwendung:</b></p>
<ul>
    <li><b>Herzrhythmus-Überwachung:</b> Unterstützt die Diagnose von Herzproblemen</li>
    <li><b>Langzeit-Aufzeichnung:</b> Bis zu 10 Stunden kontinuierliche EKG-Daten speichern</li>
    <li><b>Einfache Bedienung:</b> Intuitive Ein-Knopf-Steuerung</li>
</ul>

<p><b>Ausstattung &amp; Features:</b></p>
<ul>
    <li><b>Hochauflösendes Farbdisplay:</b> Klare und präzise Darstellung</li>
    <li><b>Wiederaufladbare Li-Ion Batterie:</b> Bis zu 10 Stunden Akkulaufzeit</li>
    <li><b>Mini-USB-Schnittstelle:</b> Für einfache Datenübertragung</li>
    <li><b>Kompaktes &amp; tragbares Design:</b> Ideal für den mobilen Einsatz</li>
    <li><b>Großer Speicher:</b> Platz für bis zu 300 EKG-Aufzeichnungen</li>
</ul>
";149;177.31;111.75;132.9825;0195903a857073348ae7250001a512bd;19;"Standard rate";0195aa6e2ef57c9bae6e40559361a7ad;https://dormed24.de/media/89/83/a7/1742321103/pc-80b-frontalansicht.png?ts=1742321103;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195aa6e72a07fc4b46f91cfd0929037;;SW10004;1;100;"Hi-Dop | Gefäßdoppler inkl. Sonde";"<p><b>Funktion &amp; Anwendung:</b></p>
<ul>
    <li><b>LCD-Display:</b> Zeigt numerische Werte für Pulsfrequenz und Batteriestatus</li>
    <li><b>Präzises Gefäßscreening:</b> Geeignet für Arterien- und Venendiagnostik</li>
    <li><b>Batteriebetrieben:</b> 2x AA-Batterien für flexiblen Einsatz</li>
</ul>

<p><b>Ausstattung &amp; Features:</b></p>
<ul>
    <li><b>Inklusive Sonden:</b> Verfügbar mit 4 MHz, 8 MHz oder Kombinationen</li>
    <li><b>Kopfhöreranschluss:</b> 3,5 mm Anschluss für präzise Auswertung</li>
    <li><b>Standardzubehör:</b> 2x AA-Batterien &amp; 1x Ultraschallgel</li>
    <li><b>Hinweis:</b> <span style=""color:#FF0000;"">Keine KV-Abrechnung möglich!</span></li>
</ul>
";159;189.21;108.12;128.6628;0195903a857073348ae7250001a512bd;19;"Standard rate";0195aa8009217488b5ebbe5f371567be;https://dormed24.de/media/93/de/c7/1742322273/hi-dop-frontalansicht.png?ts=1742322273;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195ada46657757a84027cf900d8ebc4;;SW10008;1;100;"BT-410 LED Stirnleuchte ";"<p><b>Funktion &amp; technische Daten:</b></p>
<ul>
    <li><b>Lichtquelle:</b> LED mit dauerhaft heller Ausleuchtung</li>
    <li><b>Lichtleistung:</b> 15.000 Lux</li>
    <li><b>Farbtemperatur:</b> 6.000 Kelvin</li>
    <li><b>LED-Lebensdauer:</b> ca. 50.000 Stunden</li>
    <li><b>Akkubetrieb:</b> Bis zu 4 Stunden Laufzeit</li>
    <li><b>Gewicht:</b> 223 g inkl. Akku</li>
    <li><b>Tragekomfort:</b> Verstellbares Kopfband für stabilen Sitz</li>
</ul>
";159;189.21;119.25;141.9075;0195903a857073348ae7250001a512bd;19;"Standard rate";0195af0048dc78008b8c41257ecb69c6;https://dormed24.de/media/70/03/c5/1742397789/bt-410-led-frontalansicht.png?ts=1742399711;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195adae6b6c7df891184e1ae49c806e;;SW10009;1;100;"Lupenbrille (BT-410 LED)";"<p></p><ul><li><b>Kompatibilität:</b> Für Stirnleuchte BT-410 LED</li><li><b>Vergrößerung:</b> Ermöglicht eine detailgenaue Betrachtung</li><li><b>Befestigung:</b> Anpassbare Halterung zur Fixierung an der Stirnleuchte</li></ul>
";45;53.55;39;46.41;0195903a857073348ae7250001a512bd;19;"Standard rate";0195af0048dd7540aef236b873d6bd2a;https://dormed24.de/media/09/63/20/1742397789/lupenbrille-bt-410-led.png?ts=1742399711;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195adb357187e82a3ab479f8ca4a801;;SW10010;1;100;"Akku Li-ion 4,2V (BT-410 LED)";"<p></p><ul><li><b>Akkutyp:</b> Lithium-Ionen-Akku mit 4,2V</li><li><b>Kompatibilität:</b> Passend für die Stirnleuchte BT-410 LED</li><li><b>Betriebsdauer:</b> Unterstützt bis zu 4 Stunden Leuchtdauer</li></ul>


";39;46.41;29.25;34.8075;0195903a857073348ae7250001a512bd;19;"Standard rate";0195af0048db79d5b653925b5b4da399;https://dormed24.de/media/1a/69/13/1742397789/akku-li-ion-4,2v-frontansicht.png?ts=1742399711;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195adb9346f7e8b8ad350c65d6f2796;;SW10011;1;100;"Astral Light (BT-410 LED)";"<p></p><ul><li><b>Zusatzbeleuchtung:</b> Ergänzendes Lichtmodul für die Stirnleuchte</li><li><b>Kompatibilität:</b> Speziell für BT-410 LED konzipiert</li><li><b>Montage:</b> Einfache Befestigung an der Leuchte</li></ul>


";39;46.41;29.25;34.8075;0195903a857073348ae7250001a512bd;19;"Standard rate";0195af0048dc78008b8c4124d7f2b7a9;https://dormed24.de/media/ed/da/66/1742397789/astral-light-frontansicht.png?ts=1742399711;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195adbc28fd7d4d9a01168af0aa9df4;;SW10012;1;100;"Netzteil (410 LED)";"<p></p><ul><li><b>Kompatibilität:</b> Netzteil für die Stirnleuchte BT-410 LED</li><li><b>Spannung:</b> Passend für die Akku-Ladeeinheit</li><li><b>Anschluss:</b> Standardstecker für direkte Stromversorgung</li></ul>


";49;58.31;36.75;43.7325;0195903a857073348ae7250001a512bd;19;"Standard rate";0195af0048de7d06a0e160f6d3c54cdd;https://dormed24.de/media/09/24/b6/1742397792/netzteil-frontansicht.png?ts=1742399711;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195a45d04e17163b684468ffccf7b57;0195903ca61071338e3fbc42bb6c843a;;
0195adc0ccb576ea9454e14063efad5c;;SW10013;1;100;"Meone | Finger-Pulsoximeter";"<p><b>Funktion &amp; technische Daten:</b></p>
<ul>
    <li><b>Stromversorgung:</b> USB-C aufladbar</li>
    <li><b>Akkulaufzeit:</b> Li-Ion Batterie mit bis zu 48 Stunden</li>
    <li><b>Display:</b> OLED, in 4 Richtungen einstellbar</li>
    <li><b>Konnektivität:</b> Kompatibel mit vihealth App</li>
    <li><b>Messmodus:</b> Spot-Check oder kontinuierliche Überwachung</li>
    <li><b>Bewegungskompensation:</b> Anti-Motion-Technologie</li>
    <li><b>Alarmfunktion:</b> Audio- &amp; visuelle Signale</li>
</ul>
";39;46.41;26.52;31.5588;0195903a857073348ae7250001a512bd;19;"Standard rate";0195af0048dd7540aef236b9e287e6c6;https://dormed24.de/media/c0/86/55/1742397793/meone-finger-pulsoximeter-app.png?ts=1742399711;;;0195a457699276a1bd008adbd0886fd4;"medical ECONET";0195b2aacabd72d9ab832e3800ff99e6;0195903ca61071338e3fbc42bb6c843a;;
